Sample,Ni,Fe,Co,Al2O3,SiO2,P,S,MgO,CaO,Cr2O3,MnO,TiO2,Date,XRF,Note,
C221-A,0.8031,49.83,0.117,5.013,3.854,0.00604,0.1266,1.281,0.027,4.812,0.8713,0.1313,2022-12-14 8:34,2,C221,
C221-B,0.8243,50.1,0.119,5.005,3.847,0.0061,0.1278,1.209,0.0334,4.739,0.872,0.141,2022-12-14 8:35,2,C221,
C221-C,0.8296,50.18,0.094,5.006,3.929,0.00555,0.1248,1.271,0.0269,4.751,0.8813,0.1426,2022-12-14 8:37,2,C221,
C221-D,0.8257,49.91,0.12,4.997,3.899,0.00559,0.1265,1.23,0.0273,4.672,0.8715,0.1366,2022-12-14 8:38,2,C221,
C221-E,0.8113,50.06,0.136,5,3.964,0.00639,0.124,1.275,0.0288,4.79,0.8854,0.1426,2022-12-14 8:39,2,C221,
C221-F,0.8212,50.46,0.116,4.891,3.813,0.00618,0.1248,1.184,0.0276,4.668,0.8744,0.1287,2022-12-14 8:40,2,C221,
C222-A,1.023,48.11,0.118,3.903,6.642,0.00657,0.08691,3.154,0.0428,4.288,0.9637,0.1094,2022-12-14 8:41,2,C222,
C222-B,1.048,48.45,0.096,3.921,6.911,0.0058,0.0848,3.253,0.0414,4.404,0.953,0.1152,2022-12-14 8:42,2,C222,
C222-C,1.036,48.31,0.099,3.958,7.092,0.00512,0.08526,3.497,0.045,4.369,0.9616,0.1154,2022-12-14 8:44,2,C222,
C222-D,1.028,48.2,0.118,3.924,6.957,0.00595,0.08639,3.254,0.0323,4.378,0.961,0.1173,2022-12-14 8:45,2,C222,
C222-E,1.036,47.98,0.107,3.948,7.123,0.00623,0.08627,3.423,0.0415,4.352,0.9433,0.1129,2022-12-14 8:46,2,C222,
C222-F,1.023,48.46,0.112,3.91,6.892,0.00525,0.08752,3.221,0.0417,4.383,0.9386,0.1145,2022-12-14 8:47,2,C222,
C223-A,0.9783,50.64,0.117,4.872,3.367,0.00698,0.1184,1.078,0.0305,4.553,0.9634,0.1667,2022-12-14 9:20,2,C223,
C223-B,0.985,50.71,0.108,4.885,3.267,0.00695,0.1181,0.957,0.0296,4.594,0.991,0.1627,2022-12-14 9:21,2,C223,
C223-C,0.9339,50.13,0.094,4.813,3.261,0.00679,0.1192,0.98,0.0304,4.664,0.9628,0.1689,2022-12-14 9:22,2,C223,
C223-D,0.9804,50.7,0.108,4.863,3.224,0.00697,0.1199,0.908,0.031,4.642,0.9728,0.1658,2022-12-14 9:23,2,C223,
C223-E,0.9662,50.95,0.155,4.873,3.31,0.00679,0.1188,0.983,0.0288,4.619,1.005,0.1752,2022-12-14 9:24,2,C223,
C223-F,0.9876,50.78,0.114,4.811,3.182,0.00625,0.1176,0.85,0.0202,4.548,0.9749,0.1637,2022-12-14 9:25,2,C223,
C224-A,0.9039,51.47,0.087,5.15,2.334,0.00748,0.1248,0.808,0.0274,4.835,0.8869,0.1574,2022-12-14 9:27,2,C224,
C224-B,0.9109,51.27,0.11,5.216,2.364,0.006,0.1261,0.85,0.0287,4.806,0.8789,0.1603,2022-12-14 9:28,2,C224,
C224-C,0.9115,51.55,0.109,5.26,2.398,0.0066,0.1265,0.904,0.0334,4.637,0.8838,0.1537,2022-12-14 9:29,2,C224,
C224-D,0.8941,51.59,0.077,5.255,2.346,0.00701,0.127,0.821,0.0265,4.779,0.888,0.1611,2022-12-14 9:30,2,C224,
C224-E,0.9135,51.6,0.093,5.383,2.419,0.00644,0.1282,0.885,0.0285,4.689,0.8792,0.1589,2022-12-14 9:31,2,C224,
C224-F,0.91,50.95,0.12,5.212,2.369,0.00636,0.1276,0.835,0.0295,4.701,0.879,0.156,2022-12-14 9:33,2,C224,
C225-A,0.9275,50.6,0.091,5.662,2.503,0.00777,0.1285,0.866,0.0316,4.721,0.8997,0.2256,2022-12-14 9:51,2,C225,
C225-B,0.9346,50.43,0.094,5.718,2.472,0.00748,0.1296,0.785,0.0266,4.751,0.882,0.2195,2022-12-14 9:52,2,C225,
C225-C,0.9241,50.28,0.132,5.681,2.458,0.00718,0.1282,0.801,0.0226,4.702,0.8858,0.2133,2022-12-14 9:53,2,C225,
C225-D,0.9295,50.58,0.111,5.663,2.427,0.00764,0.1291,0.759,0.0228,4.681,0.8875,0.2155,2022-12-14 9:54,2,C225,
C225-E,0.9124,51.07,0.118,5.66,2.484,0.00742,0.1277,0.941,0.0289,4.542,0.8926,0.2232,2022-12-14 9:55,2,C225,
C225-F,0.9178,50.63,0.117,5.646,2.418,0.00704,0.1271,0.832,0.0296,4.808,0.9024,0.2146,2022-12-14 9:56,2,C225,
C221-A,0.8141,49.57,0.104,4.811,4.158,< 0.0012,0.1466,1.207,0.0152,5.841,0.864,0.1407,2022-12-14 9:17,3,C221,
C221-B,0.8048,49.69,0.0938,4.745,4.13,< 0.0012,0.1482,1.176,0.0214,5.669,0.8828,0.1252,2022-12-14 9:18,3,C221,
C221-C,0.8017,49.59,0.0966,4.754,4.198,< 0.0012,0.1431,1.272,0.0233,5.735,0.865,0.1387,2022-12-14 9:20,3,C221,
C221-D,0.8166,49.8,0.082,4.606,4.067,< 0.0012,0.1435,1.182,0.0133,5.548,0.896,0.1366,2022-12-14 9:21,3,C221,
C221-E,0.8268,50.08,0.087,4.645,4.185,< 0.0012,0.1455,1.266,0.0198,5.676,0.8955,0.14,2022-12-14 9:23,3,C221,
C221-F,0.8032,50.17,0.1003,4.618,4.14,< 0.0012,0.1435,1.18,0.017,5.465,0.898,0.1334,2022-12-14 9:24,3,C221,
C222-A,1.019,47.64,0.127,3.591,7.408,< 0.0012,0.09404,2.978,0.0266,4.702,0.9501,0.1135,2022-12-14 9:26,3,C222,
C222-B,1.023,48,0.115,3.283,7.121,< 0.0012,0.08666,2.971,0.0279,4.73,0.9371,0.118,2022-12-14 9:27,3,C222,
C222-C,1.001,47.81,0.121,3.713,7.858,< 0.0012,0.09338,3.457,0.0283,4.842,0.9559,0.1129,2022-12-14 9:29,3,C222,
C222-D,1.011,47.39,0.123,3.687,7.547,< 0.0012,0.09462,3.073,0.0244,4.939,0.9285,0.1186,2022-12-14 9:31,3,C222,
C222-E,1.019,47.82,0.1099,3.742,7.775,< 0.0012,0.09542,3.307,0.03,4.859,0.9408,0.1171,2022-12-14 9:32,3,C222,
C222-F,1.026,47.27,0.125,3.929,7.896,0.003,0.09928,3.243,0.0306,4.975,0.9324,0.1145,2022-12-14 9:34,3,C222,
C223-A,0.9655,50.5,0.0919,4.647,3.566,0.0032,0.1384,1.046,0.0224,5.152,0.9715,0.1635,2022-12-14 8:34,3,C223,
C223-B,0.9538,50.37,0.12,4.611,3.458,< 0.0012,0.1371,0.935,0.0137,5.165,0.9777,0.1625,2022-12-14 8:36,3,C223,
C223-C,0.9298,49.94,0.117,4.494,3.425,0.0032,0.1323,0.977,0.0189,5.272,0.9743,0.1771,2022-12-14 8:37,3,C223,
C223-D,0.9543,50.53,0.127,4.464,3.4,< 0.0012,0.1357,0.892,< 0.0057,5.183,0.9719,0.1631,2022-12-14 8:39,3,C223,
C223-E,0.9639,50.32,0.125,4.46,3.393,< 0.0012,0.1361,0.962,< 0.0057,5.166,0.9732,0.1707,2022-12-14 8:40,3,C223,
C223-F,0.9678,50.82,0.0797,4.487,3.41,< 0.0012,0.1373,0.946,< 0.0057,5.152,0.9695,0.1572,2022-12-14 8:42,3,C223,
C224-A,0.8874,50.87,0.0716,4.79,2.394,< 0.0012,0.1487,0.838,0.0178,5.668,0.8941,0.1521,2022-12-14 8:43,3,C224,
C224-B,0.9062,51.22,0.0727,4.452,2.248,< 0.0012,0.1369,0.73,0.0133,5.562,0.8848,0.1616,2022-12-14 8:45,3,C224,
C224-C,0.902,51.64,0.0681,4.841,2.427,< 0.0012,0.1475,0.875,0.0228,5.488,0.8957,0.157,2022-12-14 8:46,3,C224,
C224-D,0.889,51.23,0.069,4.953,2.419,0.0035,0.1487,0.856,0.0168,5.563,0.892,0.1524,2022-12-14 8:48,3,C224,
C224-E,0.9179,51.23,0.0525,5.034,2.473,< 0.0012,0.15,0.868,0.0104,5.649,0.8684,0.1615,2022-12-14 8:49,3,C224,
C224-F,0.9051,51.11,0.0699,5.293,2.488,0.0038,0.1554,0.844,0.0116,5.841,0.8853,0.1599,2022-12-14 8:51,3,C224,
C225-A,0.9099,50.5,0.1031,5.515,2.536,0.0035,0.1507,0.813,0.014,5.62,0.8962,0.228,2022-12-14 10:24,3,C225,
C225-B,0.9233,50.19,0.09,5.377,2.499,0.0034,0.1505,0.795,< 0.0058,5.697,0.8915,0.2212,2022-12-14 10:26,3,C225,
C225-C,0.9206,50.67,0.0676,5.41,2.567,< 0.0012,0.1521,0.897,0.017,5.546,0.8891,0.2149,2022-12-14 10:27,3,C225,
C225-D,0.9117,50.59,0.0978,5.216,2.467,0.0032,0.1487,0.831,0.015,5.462,0.8951,0.2154,2022-12-14 10:29,3,C225,
C225-E,0.9099,50.62,0.0779,5.192,2.472,0.0036,0.144,0.885,< 0.0057,5.243,0.8846,0.213,2022-12-14 10:31,3,C225,
C225-F,0.9187,50.64,0.0746,5.331,2.418,0.0041,0.149,0.842,0.017,5.632,0.9068,0.2224,2022-12-14 10:32,3,C225,
C221-A,0.8035,49.89,0.0823,4.419,3.123,0.00494,0.1005,1.079,0.0224,4.128,0.8075,,2022-12-14 10:30,4,C221,
C221-B,0.8006,49.33,0.0856,4.316,2.934,0.00472,0.09892,1.041,0.0238,4.232,0.8131,,2022-12-14 10:31,4,C221,
C221-C,0.8016,49.78,0.088,4.378,3.063,0.00493,0.1002,1.131,0.0244,4.225,0.8007,,2022-12-14 10:32,4,C221,
C221-D,0.8027,49.58,0.0833,4.289,2.946,0.00449,0.09833,1.018,0.0222,4.181,0.81,,2022-12-14 10:33,4,C221,
C221-E,0.7912,49.53,0.0845,4.303,3.018,0.00537,0.09709,1.032,0.026,4.209,0.7935,,2022-12-14 10:34,4,C221,
C221-F,0.8017,49.79,0.0847,4.279,2.942,0.00486,0.09847,1,0.0241,4.108,0.8321,,2022-12-14 10:35,4,C221,
C222-A,0.9883,47.49,0.0982,3.682,5.205,0.00533,0.06957,2.141,0.0372,3.707,0.9137,,2022-12-14 10:37,4,C222,
C222-B,0.9971,47.24,0.0965,3.591,5.707,0.00483,0.06476,2.415,0.0333,3.912,0.9292,,2022-12-14 10:38,4,C222,
C222-C,0.9987,47.39,0.0981,3.678,5.664,0.00481,0.06466,2.718,0.0382,3.872,0.9223,,2022-12-14 10:39,4,C222,
C222-D,0.9924,47.19,0.0995,3.637,5.33,0.00479,0.06549,2.146,0.0367,3.916,0.9353,,2022-12-14 10:40,4,C222,
C222-E,1.003,47.4,0.0945,3.513,5.645,0.00452,0.06517,2.145,0.0347,3.811,0.9597,,2022-12-14 10:41,4,C222,
C222-F,1.002,47.59,0.094,3.522,5.295,0.00474,0.06557,2.062,0.0365,3.803,0.9004,,2022-12-14 10:42,4,C222,
C223-A,0.9519,51.01,0.0911,4.373,2.561,0.00519,0.09674,0.923,0.0313,3.957,0.9289,,2022-12-14 9:55,4,C223,
C223-B,0.9536,50.33,0.0973,4.257,2.488,0.00521,0.0936,0.865,0.0292,4.11,0.9746,,2022-12-14 9:56,4,C223,
C223-C,0.8911,49.52,0.0817,4.092,2.362,0.0053,0.09081,0.886,0.0204,4.052,0.8992,,2022-12-14 9:57,4,C223,
C223-D,0.9499,50.49,0.0937,4.25,2.369,0.00507,0.09371,0.78,0.0232,4.173,0.9392,,2022-12-14 9:59,4,C223,
C223-E,0.9546,50.64,0.0919,4.303,2.52,0.00509,0.09435,0.856,0.0236,4.132,0.9376,,2022-12-14 10:00,4,C223,
C223-F,0.9449,50.33,0.0944,4.173,2.387,0.00524,0.0931,0.875,0.0327,4.089,0.9507,,2022-12-14 10:01,4,C223,
C224-A,0.8829,51.39,0.0828,4.582,1.813,0.00564,0.105,0.813,0.0329,4.108,0.8031,,2022-12-14 10:02,4,C224,
C224-B,0.8943,50.96,0.0824,4.59,1.96,0.00583,0.1019,0.911,0.0306,4.263,0.8174,,2022-12-14 10:03,4,C224,
C224-C,0.8742,50.92,0.0745,4.533,1.969,0.00518,0.1003,0.925,0.03,4.119,0.8123,,2022-12-14 10:04,4,C224,
C224-D,0.8782,51.02,0.074,4.497,1.955,0.00521,0.1023,0.86,0.0256,4.171,0.7803,,2022-12-14 10:05,4,C224,
C224-E,0.8791,51.06,0.0763,4.651,1.804,0.0052,0.1011,0.859,0.0262,4.155,0.8425,,2022-12-14 10:06,4,C224,
C224-F,0.8735,50.91,0.0743,4.531,1.903,0.00549,0.1018,0.896,0.029,4.214,0.7864,,2022-12-14 10:07,4,C224,
C225-A,0.8999,50.68,0.0851,4.797,1.932,0.00662,0.105,0.917,0.0305,4.116,0.8206,,2022-12-14 8:27,4,C225,
C225-B,0.9053,50.21,0.0835,4.795,1.923,0.00549,0.1003,0.886,0.0186,4.24,0.8137,,2022-12-14 8:29,4,C225,
C225-C,0.8999,50.43,0.0804,4.698,2.043,0.00566,0.1004,1.016,0.025,4.095,0.8192,,2022-12-14 8:30,4,C225,
C225-D,0.9011,50.41,0.0839,4.763,1.838,0.00591,0.1015,0.805,0.0226,4.081,0.8167,,2022-12-14 8:31,4,C225,
C225-E,0.9032,50.52,0.0795,4.697,1.806,0.00575,0.1017,0.864,0.0182,4.015,0.8166,,2022-12-14 8:32,4,C225,
C225-F,0.8905,50.07,0.0828,4.628,1.862,0.00556,0.1007,0.823,0.0292,4.224,0.8191,,2022-12-14 8:33,4,C225,
